,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude,day,evening,morning,night,Mi,mb,md,ml,ms,mw,mwb,mwc,mww,ak,at,ci,duputel,hv,nc,nn,official,pt,us,uw
55,6.8,6,5,1,762,162,1.505,30.0,220.0,-23.6141,-66.7236,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
56,6.6,6,5,1,762,0,0.914,94.0,27.0,11.5538,-86.9919,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,7.0,6,4,1,763,0,2.705,26.0,10.0,-22.5732,170.349,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,6.9,6,4,1,738,0,2.697,42.0,10.0,-22.72,170.277,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,6.7,8,7,1,806,0,0.289,32.0,24.0,23.3421,121.636,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,7.3,9,8,1,2397,0,2.936,29.0,41.0,37.7015,141.587,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
61,6.7,9,6,0,708,0,2.188,43.0,28.0,-0.6831,98.6034,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,6.6,2,7,1,670,0,0.827,46.0,24.0,-30.0528,-177.74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
63,6.8,2,3,1,712,0,5.78,12.0,535.0,-23.7852,-179.968,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64,6.5,8,6,0,690,0,3.026,22.0,110.0,-4.455,-76.9395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65,6.5,7,4,1,651,0,1.088,57.0,8.0,-29.535,-176.729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
66,6.6,8,6,0,785,0,2.418,22.0,33.0,-6.9291,105.251,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
