,sig,cdi,longitude,latitude,depth,gap,official,dmin,nst,mmi,magnitude
280,798,1,-26.9353,-56.2409,78.0,24.0,0,5.803,0,6,7.2
281,733,3,-178.204,-21.9724,405.69,19.0,0,5.485,0,3,6.9
282,780,8,-79.616,0.4947,29.95,17.0,0,1.192,0,7,6.9
283,744,5,-79.7899,0.4261,16.0,21.0,0,1.352,0,7,6.7
284,755,7,167.379,-16.0429,24.0,14.0,0,0.616,0,7,7.0
285,1163,9,-79.9218,0.3819,20.59,15.0,0,1.44,0,9,7.8
286,2074,9,130.754,32.7906,10.0,32.0,0,0.349,0,9,7.0
287,903,6,94.8654,23.0944,136.0,14.0,0,3.001,0,6,6.9
288,738,6,71.1311,36.4725,212.0,17.0,0,0.789,0,4,6.6
289,692,7,166.594,-13.9805,27.59,25.0,0,6.787,0,5,6.7
290,691,7,166.624,-14.0683,24.0,19.0,0,6.697,0,6,6.7
291,734,7,166.855,-14.3235,26.0,25.0,0,1.166,0,6,6.9
292,948,4,94.3299,-4.9521,24.0,20.0,0,7.009,0,3,7.8
293,799,3,158.546,53.9776,177.0,17.0,0,0.958,0,7,7.2
294,1496,7,-153.339,59.6204,125.6,0.0,0,0.0,0,7,7.1
295,673,3,-106.934,18.8239,10.0,74.0,0,2.413,0,4,6.6
296,717,5,142.781,41.9723,46.0,22.0,0,0.281,0,6,6.7
297,651,3,126.862,3.8965,13.0,22.0,0,3.144,0,6,6.5
298,1515,8,93.6505,24.8036,55.0,16.0,0,1.794,0,7,6.7
299,765,8,-93.633,15.8015,85.0,35.0,0,0.41,0,6,6.6
300,738,8,129.508,-4.1064,21.0,14.0,0,2.979,0,5,6.9
301,827,4,72.7797,38.2107,22.0,18.0,0,1.116,0,7,7.2
302,691,2,-71.2574,-9.1825,602.75,19.0,0,2.033,0,3,6.7
303,896,5,-71.0184,-10.0598,620.56,10.0,0,2.852,0,4,7.6
304,957,6,-70.9437,-10.5372,606.21,10.0,0,3.287,0,5,7.6
305,715,5,158.422,-8.8994,12.59,19.0,0,1.599,0,6,6.8
306,1018,7,20.6,38.67,11.0,0.0,0,0.0,0,7,6.5
307,702,5,128.873,31.0009,12.0,17.0,0,1.444,0,4,6.7
308,744,5,-72.0585,-29.5097,10.0,43.0,0,0.821,0,6,6.9
309,761,6,-72.0068,-29.5067,12.0,32.0,0,0.784,0,6,6.9
310,675,7,94.648,6.8431,10.0,31.0,0,2.792,0,4,6.6
311,841,7,-71.4519,-30.8796,46.0,41.0,0,0.258,0,7,6.8
312,657,5,124.875,-8.3381,20.0,21.0,0,1.53,0,7,6.5
313,1448,8,70.3676,36.5244,231.0,18.0,0,0.622,0,7,7.5
314,780,6,167.303,-14.8595,135.0,11.0,0,0.592,0,6,7.1
315,671,7,131.262,-0.6212,18.0,13.0,0,2.486,0,7,6.6
316,820,5,-71.3792,-31.7275,35.0,14.0,0,1.064,0,7,6.6
317,718,5,-71.804,-31.5173,23.0,35.0,0,0.853,0,7,6.7
318,657,6,-71.6876,-31.4244,27.0,62.0,0,0.749,0,7,6.5
319,799,8,-71.4262,-31.5622,28.41,13.0,0,0.903,0,7,7.0
320,1960,9,-71.6744,-31.5729,22.44,19.0,0,0.684,0,8,8.3
321,708,5,-109.623,24.913,10.0,123.0,0,1.256,0,5,6.7
322,650,0,157.877,-9.3293,6.43,16.0,0,2.045,0,5,6.5
323,671,3,158.053,-9.3438,22.0,20.0,0,1.872,0,5,6.6
324,762,9,138.528,-2.6286,48.0,12.0,0,6.278,0,7,7.0
325,734,4,-169.446,52.376,29.0,39.0,0,0.444,0,7,6.9
326,759,8,165.141,-10.4012,11.0,22.0,0,5.205,0,6,7.0
327,686,4,-58.5479,13.8672,20.0,20.0,0,1.218,0,4,6.5
328,691,4,158.403,-9.307,12.0,11.0,0,1.529,0,5,6.7
329,652,3,139.725,27.7375,460.0,11.0,0,2.277,0,4,6.5
330,1151,6,140.493,27.8386,664.0,12.0,0,1.675,0,3,7.8
331,762,5,-156.43,56.594,72.6,0.0,0,0.0,0,6,6.8
332,711,1,163.215,-11.1093,10.0,18.0,0,3.619,0,5,6.8
333,732,1,163.696,-11.0559,11.19,22.0,0,4.024,0,4,6.9
334,711,1,164.169,-10.8759,11.0,15.0,0,4.395,0,4,6.8
335,831,8,142.032,38.9056,35.0,8.0,0,1.422,0,6,6.8
336,1563,8,86.0655,27.8087,15.0,11.0,0,0.677,0,7,7.3
337,776,1,154.557,-7.2175,10.0,11.0,0,3.835,0,6,7.1
338,869,7,151.875,-5.4624,55.0,22.0,0,1.295,0,8,7.5
339,714,5,151.777,-5.2005,44.0,23.0,0,1.074,0,6,6.8
340,692,5,151.771,-5.375,31.0,12.0,0,1.239,0,6,6.7
341,1016,7,86.0173,27.7711,22.91,13.0,0,0.727,0,7,6.7
342,733,8,84.8216,28.2244,10.0,16.0,0,1.778,0,7,6.6
343,2820,8,84.7314,28.2305,8.22,12.0,0,1.857,0,9,7.8
344,650,0,-178.6,-15.8815,10.0,42.0,0,3.702,0,5,6.5
345,650,2,-173.029,-15.4994,11.0,36.0,0,4.629,0,5,6.5
346,872,6,152.562,-4.7294,41.0,19.0,0,0.666,0,7,7.5
347,760,4,122.535,-7.2968,552.06,12.0,0,1.362,0,6,7.0
348,714,5,142.881,39.8558,23.0,20.0,0,1.925,0,5,6.7
349,700,4,-66.688,-23.1125,223.0,16.0,0,2.11,0,6,6.7
350,711,1,168.52,-17.0309,219.96,13.0,0,2.019,0,4,6.8
351,650,1,-82.6576,5.9045,8.0,61.0,0,4.318,0,4,6.5
352,709,7,-82.6865,7.9401,20.0,43.0,0,2.485,0,6,6.6
353,670,1,154.46,-6.5108,23.0,12.0,0,3.246,0,5,6.6
354,670,1,123.126,6.1572,614.0,9.0,0,2.6,0,3,6.6
355,713,6,126.575,1.9604,39.0,19.0,0,1.421,0,5,6.8
356,652,5,127.056,2.2999,35.0,9.0,0,1.549,0,5,6.5
357,698,7,179.662,-37.6478,22.0,25.0,0,1.079,0,4,6.7
358,779,4,126.522,1.8929,45.0,18.0,0,1.397,0,6,7.1
359,671,2,148.232,-5.9873,53.19,13.0,0,3.557,0,6,6.6
360,776,3,-177.759,-19.6903,434.0,13.0,0,4.415,0,6,7.1
